sudo: a password is required
Currently logged in as: t4r3k (t4r3k-carleton-university). Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.17.5
wandb: Run data is saved locally in /home/library/workspace/mlos/gym/0_mdpax/wandb/run-20240729_034631-wioe5rny
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-snowflake-15
wandb: ⭐️ View project at https://wandb.ai/t4r3k-carleton-university/moon
wandb: 🚀 View run at https://wandb.ai/t4r3k-carleton-university/moon/runs/wioe5rny
No saved agents found.
Time: 00h 00m 03s, Episode: 0, Steps: 10, epr: -18.0, Loss: 0.0 Score: -18.0, Done: False


 0 Episodes: saved model to results/first_try/agent_0.pkl


Time: 00h 00m 03s, Episode: 1, Steps: 15, epr: -6.5, Loss: 0.0 Score: 5.0, Done: True
Time: 00h 00m 03s, Episode: 2, Steps: 25, epr: -12.3, Loss: 0.0 Score: -24.0, Done: False
Time: 00h 00m 03s, Episode: 3, Steps: 35, epr: -15.2, Loss: 0.0 Score: -24.0, Done: False
Time: 00h 00m 03s, Episode: 4, Steps: 42, epr: -11.4, Loss: 0.0 Score: 4.0, Done: True
Time: 00h 00m 03s, Episode: 5, Steps: 46, epr: -7.83, Loss: 0.0 Score: 10.0, Done: True
Time: 00h 00m 03s, Episode: 6, Steps: 49, epr: -4.86, Loss: 0.0 Score: 13.0, Done: True
Time: 00h 00m 03s, Episode: 7, Steps: 52, epr: -2.75, Loss: 0.0 Score: 12.0, Done: True
Time: 00h 00m 04s, Episode: 8, Steps: 56, epr: -1.33, Loss: 0.0 Score: 10.0, Done: True
Time: 00h 00m 04s, Episode: 9, Steps: 60, epr: -0.4, Loss: 0.0 Score: 8.0, Done: True
Time: 00h 00m 04s, Episode: 10, Steps: 69, epr: 0.0909, Loss: 0.0 Score: 5.0, Done: True
Time: 00h 00m 04s, Episode: 11, Steps: 79, epr: -1.25, Loss: 0.0 Score: -16.0, Done: False
Time: 00h 00m 04s, Episode: 12, Steps: 83, epr: -0.308, Loss: 0.0 Score: 11.0, Done: True
Time: 00h 00m 04s, Episode: 13, Steps: 93, epr: -1.79, Loss: 0.0 Score: -21.0, Done: False
Time: 00h 00m 04s, Episode: 14, Steps: 94, epr: -0.667, Loss: 0.0 Score: 15.0, Done: True
Time: 00h 00m 04s, Episode: 15, Steps: 100, epr: -0.125, Loss: 0.0 Score: 8.0, Done: True
Time: 00h 00m 04s, Episode: 16, Steps: 109, epr: -0.0588, Loss: 0.0 Score: 1.0, Done: True
Time: 00h 00m 04s, Episode: 17, Steps: 112, epr: 0.611, Loss: 0.0 Score: 12.0, Done: True
Time: 00h 00m 04s, Episode: 18, Steps: 116, epr: 0.947, Loss: 0.0 Score: 7.0, Done: True
Time: 00h 00m 05s, Episode: 19, Steps: 122, epr: 1.05, Loss: 0.0 Score: 3.0, Done: True
Time: 00h 00m 05s, Episode: 20, Steps: 132, epr: -0.0952, Loss: 0.0 Score: -23.0, Done: False
Time: 00h 00m 05s, Episode: 21, Steps: 134, epr: 0.545, Loss: 0.0 Score: 14.0, Done: True
Time: 00h 00m 05s, Episode: 22, Steps: 141, epr: 0.739, Loss: 0.0 Score: 5.0, Done: True
